lang,category,precision,recall,f1
java,summary,0.9018,0.8770,0.8893
java,Ownership,1.0000,1.0000,1.0000
java,Expand,0.3333,0.6456,0.4397
java,usage,0.9044,0.8339,0.8677
java,Pointer,0.6966,0.9920,0.8185
java,deprecation,0.8889,0.8000,0.8421
java,rational,0.2590,0.6207,0.3655
python,Usage,0.8714,0.6703,0.7578
python,Parameters,0.8111,0.8588,0.8343
python,DevelopmentNotes,0.4118,0.4375,0.4242
python,Expand,0.4795,0.6863,0.5645
python,Summary,0.5977,0.8525,0.7027
pharo,Keyimplementationpoints,0.4595,0.6071,0.5231
pharo,Example,0.8636,0.8539,0.8588
pharo,Responsibilities,0.5000,0.7857,0.6111
pharo,Intent,0.6923,0.8571,0.7660
pharo,Keymessages,0.6579,0.8333,0.7353
pharo,Collaborators,0.2000,0.7143,0.3125
